Id,Time,Lat,Lng,Temperature,Humidity,Pm2.5,Pm10,Pm1,Co2,Co,Hcho,Tvoc
74DA388FF6C8,2018-07-13 11:00:44,25.18,25.18,29.5,76,0,0,0,0,0,0,0
74DA388FF6D0,2018-07-13 11:02:58,51.15,51.15,17.5,62,0,0,0,0,0,0,0
74DA388FF6E0,2018-07-13 11:04:11,24.985760,24.985760,29.62,69,5,0,0,0,0,0,0
74DA388FF6EC,2018-07-13 11:03:11,24.985760,24.985760,31.12,81,5,0,0,0,0,0,0
74DA388FF6EE,2018-07-13 11:04:25,25.006371,25.006371,31,69,5,0,0,0,0,0,0
74DA388FF6F0,2018-07-13 11:03:41,24.948917,24.948917,31.37,92,6,0,0,0,0,0,0
74DA388FF6F2,2018-07-13 11:00:48,24.982964,24.982964,25.5,50,3,0,0,0,0,0,0
74DA388FF6F4,2018-07-13 11:01:25,24.951044,24.951044,30.25,81,23,0,0,0,0,0,0
74DA388FF6FE,2018-07-13 11:03:53,24.954987,24.954987,30.62,100,12,0,0,0,0,0,0
74DA388FF702,2018-07-13 11:02:35,24.939342,24.939342,29.75,73,12,0,0,0,0,0,0
74DA388FF70E,2018-07-13 11:04:42,24.934851,24.934851,31,69,13,0,0,0,0,0,0
74DA388FF716,2018-07-13 11:00:10,25.010847,25.010847,31.37,71,3,0,0,0,0,0,0
74DA388FF718,2018-07-13 11:05:01,24.989746,24.989746,30.62,80,5,0,0,0,0,0,0
74DA388FF71C,2018-07-13 11:00:38,25.003351,25.003351,31.62,100,2,3,2,0,0,0,0
74DA388FF728,2018-07-13 11:01:51,25.023314,25.023314,29.12,47,3,0,0,0,0,0,0
74DA388FF734,2018-07-13 11:04:49,24.991785,24.991785,32,80,4,0,0,0,0,0,0
74DA388FF740,2018-07-13 11:00:02,25.028866,25.028866,32.25,69,0,0,0,0,0,0,0
74DA388FF74C,2018-07-13 11:04:44,24.984596,24.984596,36.5,90,0,0,0,0,0,0,0
74DA388FF750,2018-07-13 11:00:28,25.052826,25.052826,30,71,1,0,0,0,0,0,0
74DA3895C1F8,2018-07-13 11:01:11,24.149031,24.149031,31.62,95,44,56,33,0,0,0,0
74DA3895C1FA,2018-07-13 11:00:45,24.1880,24.1880,37.87,80,43,55,32,0,0,0,0
74DA3895C1FC,2018-07-13 11:05:35,24.139105,24.139105,32.75,66,38,47,27,0,0,0,0
74DA3895C200,2018-07-13 11:04:54,24.137411,24.137411,32.37,75,33,42,23,0,0,0,0
74DA3895C206,2018-07-13 11:02:26,24.166496,24.166496,28.12,39,24,26,18,0,0,0,0
74DA3895C20C,2018-07-13 11:01:59,24.159460,24.159460,33.87,64,32,40,23,0,0,0,0
74DA3895C212,2018-07-13 11:03:31,24.13,24.13,31.25,72,42,54,30,0,0,0,0
74DA3895C214,2018-07-13 11:03:04,24.115,24.115,33.62,100,35,46,25,0,0,0,0
74DA3895C216,2018-07-13 11:05:16,24.166916,24.166916,30.87,87,41,51,30,0,0,0,0
74DA3895C218,2018-07-13 11:00:07,24.1360,24.1360,31,69,30,38,22,0,0,0,0
74DA3895C21E,2018-07-13 11:00:39,24.1910,24.1910,28.87,74,43,51,33,0,0,0,0
74DA3895C224,2018-07-13 11:04:07,24.136,24.136,32.75,100,40,50,30,0,0,0,0
74DA3895C226,2018-07-13 11:03:30,24.134478,24.134478,32,84,33,39,24,0,0,0,0
